size,material,color,sleeves,demand
S,nylon,white,long,medium
XL,polyester,cream,short,high
S,silk,blue,short,medium
M,cotton,black,short,medium
XL,polyester,orange,long,medium
XS,polyester,black,short,medium
XXL,polyester,green,short,medium
L,linen,yellow,short,high
XL,linen,cream,long,high
XS,nylon,red,short,high
XXL,linen,white,short,medium
L,linen,yellow,short,high
L,cotton,blue,long,medium
3XL,cotton,violet,short,medium
L,cotton,blue,short,high
M,linen,navy,long,high
XL,linen,white,short,medium
XXL,polyester,violet,long,low
L,cotton,green,short,high
XXL,polyester,blue,short,high
S,silk,navy,short,medium
L,nylon,orange,long,medium
S,nylon,cream,long,high
M,linen,red,short,high
L,cotton,orange,short,high
XXL,linen,red,short,high
S,cotton,green,short,high
XL,linen,violet,short,high
XL,silk,cream,short,low
3XL,linen,cream,long,medium
M,nylon,orange,long,medium
L,linen,yellow,long,high
S,nylon,cream,short,high
S,nylon,cream,short,high
L,silk,white,short,low
M,nylon,navy,short,high
XL,nylon,green,long,medium
XXL,linen,white,long,medium
M,linen,red,long,high
S,polyester,cream,long,high
XXL,cotton,green,long,low
M,polyester,blue,long,medium
L,nylon,orange,short,high
XXL,nylon,navy,short,high
L,cotton,white,short,high
M,polyester,black,long,medium
L,nylon,white,long,high
XL,cotton,orange,short,high
S,silk,black,short,low
M,polyester,violet,short,high
L,polyester,cream,short,high
XS,linen,violet,short,high
XL,nylon,yellow,short,high
XXL,cotton,navy,short,high
3XL,nylon,red,short,high
L,cotton,cream,long,medium
L,nylon,white,long,high
XL,cotton,blue,short,high
S,polyester,black,short,medium
S,nylon,navy,short,high
XL,cotton,blue,long,medium
M,nylon,green,short,high
L,cotton,cream,long,medium
S,nylon,yellow,long,high
3XL,cotton,red,long,low
L,linen,white,long,high
L,polyester,black,short,medium
XXL,cotton,white,short,medium
XL,polyester,green,short,high
XL,nylon,green,long,medium
XS,linen,orange,long,high
XXL,nylon,white,short,low
XXL,polyester,red,long,medium
M,polyester,white,long,medium
3XL,linen,white,short,low
L,polyester,blue,short,high
XL,nylon,navy,short,high
L,cotton,black,long,medium
XXL,cotton,black,short,medium
M,nylon,white,short,medium
S,cotton,yellow,short,high
3XL,nylon,black,short,medium
M,polyester,navy,short,high
